,titles,cluster,published,authors,period
0,THE WHOLE GENUINE WORKS OF FLAVIUS JOSEPHUS,0,1829,WILLIAM WHISTON,ROMAN
0,FLAVIOUS_JOSEPHUS_VOL4,0,1869,WILLIAM WHISTON,ROMAN
0,THE WORKS OF FLAVIUS JOSEPHUS VOL3,0,1806,WILLIAM WHISTON,ROMAN
0,LIFE OF FLAVIUS JOSEPHUS VOL1,0,1821,WILLIAM WfllSTON,ROMAN
1,THE HISTORIES CAIUS COBNELIUS TACITUS,1,1864,fK SfTYLER,ROMAN
1,HISTORICAL ANNALS OF COBWBXiXUS TACITUS,1,1829,ARTHUR MURPHY,ROMAN
1,PLINY'S NATURAL HISTORY VOL1,1,1828,JOHN BOSTOCK,ROMAN
1,THE WORKS OF CORNELIUS TACITUS VOL4,1,1805,ARTHUR MURPHY,ROMAN
1,WORKS OF CORNELIUS TACITUS VOL5,1,1805,ARTHUR MURPHY,Roman
2,HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE VOL2,2,1826,THOMAS BOWDLER,ROMAN
2,HISTORY OF THE DECLINE AND FALL THE ROMAN EMPIRE VOL4,2,1826,THOMAS BOWDLER,ROMAN
2,THE HISTORY OF THE ROMAN EMPIRE VOL5,2,1821,EDWARD GIBBON,ROMAN
2,THE HISTORY DECLINE AND FALL ROMAN EMPIRE VOL6,2,1825,EDWARD GIBBON,ROMAN
2,THE HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE VOL3,2,1830,EDWARD GIBBON,ROMAN
2,THE HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE VOL 1,2,1776,EDWARD GIBBON,ROMAN
3,THE HISTORY OF THE PELOPONNESIAN WAR VOL2,3,1781,WILLIAM SMITH,GREEK
3,THE HISTORY OF THE PELOPONNESIAN WAR VOL1,3,?,WILLIAM SMITH,GREEK
3,THE DESCRIPTION OF GREECE,3,1794,PAUS ANIAS,GREEK
4,THE HISTORY OF ROME VOL3,4,1863,THEODOR MOMMSEN,ROMAN
4,DICTIONARY GREEK AND ROMAN GEOGRAPHY,4,1857,WILLIAM SMITH,ROMAN AND GREEK
5,HISTORY OF ROME VOL3,5,1833,GEORGE BAKER,ROMAN
5,THE HISTORY OF ROME BY TITUS LIVIUS,5,1797,GEORGE BAKER,ROMAN
5,HISTORY OF ROME VOL5,5,1834,GEORGE BAKER,ROMAN
5,TITUS LIVIUS ROMAN,5,1813,WILLIAM GORDON,ROMAN
